symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
NZDCHF,0.66,ok,forex,H4,18,-2182.84,2645.39,2.65,-3.85,-0.83,0.45,27.8,-0.3108,18.4,35
NZDCHF,0.67,ok,forex,H4,15,-2364.49,2456.33,2.46,-5.68,-0.96,0.34,33.3,-0.3403,17.3,35
NZDCHF,0.68,ok,forex,H4,10,-2058.23,2150.07,2.15,-7.72,-0.96,0.28,30.0,-0.4277,14.9,35
NZDCHF,0.69,ok,forex,H4,5,-1673.4,1765.24,1.77,-20.21,-0.95,0.05,20.0,-0.5355,13.2,35
NZDCHF,0.7,ok,forex,H4,5,-1707.23,1767.39,1.77,-22.06,-0.97,0.03,20.0,-0.5409,13.0,35
NZDCHF,0.71,ok,forex,H4,3,-1326.43,1326.43,1.33,-1317.56,-1.0,0.0,0.0,-0.701,6.0,35
UK100.cash,0.44,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.45,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.46,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.47,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.48,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.49,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.5,ok,index,H4,132,-2086.73,7160.73,7.16,-0.37,-0.29,0.91,37.9,-0.0296,20.4,34
UK100.cash,0.51,ok,index,H4,133,-2882.18,7485.79,7.49,-0.52,-0.39,0.88,39.1,-0.0415,20.0,34
