symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
CHF_JPY,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.6,1.1,-467790.84,472388.39,472.39,-9.06,-0.99,0.59,-0.033,29.0,1514,4.2,37,0.2035,0.1296,43.2,0.5,25.4,24.7,6.3,false,true,95,1419
DASHUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,31.6,9.1,-205045.59,207685.38,207.69,-3.41,-0.99,0.68,-0.3006,24.1,1085,11.6,52,4.5115,1.8325,36.9,1.6,35.4,17.6,8.6,false,true,73,1012
DXY.cash,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,6.2,2.7,-507532.8,512213.58,512.21,-16.2,-0.99,0.38,-0.0569,20.2,639,4.6,16,0.2182,0.1265,51.2,1.7,27.4,19.1,0.6,false,true,94,545
ETHUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,34.9,12.4,-194391.96,195759.65,195.76,-3.44,-0.99,0.71,-0.2162,25.0,1174,10.6,52,3.0494,1.3072,34.3,3.2,37.9,13.2,11.4,false,true,82,1092
EUR_CHF,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.5,1.0,-183936.95,185691.05,185.69,-5.77,-0.99,0.63,-0.029,33.8,1116,6.6,37,0.1572,0.1241,27.2,0.8,36.7,31.5,3.8,false,true,85,1031
EUR_PLN,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,9.0,5.5,-592111.6,595869.72,595.87,-18.87,-0.99,0.25,-0.0613,32.4,1139,5.9,37,0.0891,0.1334,28.6,0.7,18.5,49.1,3.1,false,true,82,1057
IBE,ok,equity,unknown,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,34.5,29.1,-627921.35,635439.02,635.44,-26.64,-0.99,0.27,-0.3317,16.1,496,3.7,11,0.8197,0.5531,56.2,0.4,27.6,15.5,0.2,false,true,110,386
NATGAS.cash,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,116.6,110.6,-1330077.12,1341062.44,1341.06,-26.81,-0.99,0.2,-1.046,17.4,823,5.1,22,1.8139,1.6474,53.1,1.6,24.2,17.0,4.1,false,true,94,729
SOYBEAN.c,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,24.8,18.8,-525062.9,528991.89,528.99,-12.42,-0.99,0.44,-0.1918,28.1,904,5.9,27,0.5664,0.4881,45.1,1.3,26.0,26.7,0.9,false,true,97,807
USD_HUF,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.8,5.3,-419584.89,424783.82,424.78,-6.67,-0.99,0.59,-0.0668,17.4,1130,6.8,37,0.516,0.1898,45.3,3.0,36.2,12.8,2.7,false,true,82,1048
USD_SGD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.7,2.2,-445373.77,448173.93,448.17,-20.06,-0.99,0.29,-0.0554,17.0,519,5.3,14,0.1367,0.0946,43.4,2.5,38.7,13.9,1.5,false,true,92,427
WHEAT.c,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,26.5,20.5,-189290.5,190298.37,190.3,-7.16,-0.99,0.57,-0.2057,25.1,716,8.4,27,1.1818,0.6717,37.3,2.7,36.5,20.7,2.9,false,true,94,622
XPD_USD,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,52.8,46.6,-639803.32,645445.64,645.45,-17.33,-0.99,0.34,-0.4223,34.2,1259,5.0,35,0.7753,1.0457,32.0,0.5,28.8,35.1,3.7,false,true,82,1177
