symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
V,H4,ok,equity,509,8,932,200,7.080960355322013,0.7054242131189677,7.864912302385148,0.7057659306287942,3.9161522040478074,0.3377263440700883,34,10.9,0.4,5.518594597909276,2.5,0.01781809787020925
AVAUSD,H4,ok,crypto,836,16,1606,200,6.988654031812332,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,32.4,6.5,9.892827699917936,8.0,0.0064520903042049865
AUD_USD,H4,ok,forex,1634,34,3014,200,6.6262466171011045,1.9046672939945257,7.320924677681867,0.6070403675090202,3.1950591643512003,1.0701686765503866,36,4.1,0.5,0.640717603716803,1.5,0.019844809278589566
HK50.cash,H4,ok,index,1465,30,2663,200,6.3528400222626535,1.5273267141244171,6.199250059529583,1.4634445329454389,3.8654198109293474,1.4081731363229038,23,5.6,0.0,2.636512772439653,1.5,0.02325917238017524
AUD_CHF,H4,ok,forex,1583,34,3014,200,6.1735389548423845,0.6977899942057804,3.1742652910999722,1.2026012225999658,3.81503181041427,0.8313412329342319,21,5.1,0.5,1.600697192555593,1.5,0.029272434167266763
UK100.cash,H4,ok,index,1484,33,2934,200,5.964157635410541,1.1354172927688349,7.45071661278706,0.3683397631256732,3.486379381407959,0.6695996474266953,28,4.3,0.0,1.2533385058405841,1.5,0.020352061122111086
LVMH,H1,ok,equity,1471,11,4424,200,5.73959930287836,1.0528239446981107,6.292200185937236,1.140666698318743,1.9481531879044665,1.3291025213399064,36,7.8,0.4,2.429656764257795,2.5,0.02452713559421186
ICPUSD,H4,ok,crypto,581,16,1606,200,5.613720338060541,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,28.5,6.5,5.96006754743243,8.0,0.028046855875577918
EU50.cash,H4,ok,index,1245,26,2372,200,5.06248361022995,0.7350500045548699,3.982672961704176,0.3391553469123533,2.8947965907992805,1.3311736589318628,8,6.1,0.0,3.062474479379339,1.5,0.025730152893090913
DBKGn,H4,ok,equity,799,14,1446,200,4.681880359042756,0.5827200093915766,7.080270207305904,0.6525749678093768,2.9793763492745966,1.037135049740455,26,15.9,0.4,10.480349344978563,2.5,0.00701600407634575
XLMUSD,H1,ok,crypto,3379,18,6474,200,3.5332853129606656,1.5628417367151155,7.016729505310586,0.7420915625191966,3.43443376802072,2.398639797173686,46,25.6,6.5,3.100294527979816,8.0,0.018410430811452314
XAU_USD,H4,ok,commodity,1619,34,3001,200,3.5200413103971693,0.5953934119189045,2.920013291102693,0.30415569314111823,1.383972218108045,1.0375012491742568,21,4.9,0.13999999999999999,0.7966611047918627,2.0,0.02280311022150914
ALVG,H4,ok,equity,843,14,1446,200,3.3801598440934844,0.5889032998745527,5.740820883873975,0.3538671414753338,3.465044632228679,0.3269440454096664,6,10.4,0.4,4.975981320931483,2.5,0.020082192216324353
USD_JPY,H4,ok,forex,1600,34,3014,200,2.7921024849422085,0.5408545917069151,4.925690467145929,0.325881589795263,1.3302799187394965,0.39290130076132174,21,4.0,0.5,0.464975705019745,1.5,0.014867970242384827
BARUSD,M30,ok,crypto,6837,12,12991,200,2.6452036015415947,2.8936078178306817,9.307700162440876,1.3848843471931918,3.2899998527881844,1.2546312063377387,32,27.4,6.5,4.890573419733265,8.0,0.008934458067683353
SANUSD,M30,ok,crypto,6761,12,12991,200,1.8774069634076573,2.0167503518104,9.520281329379383,1.9204467125369271,3.996062715634336,0.5004088172694546,45,33.6,6.5,11.10083256244096,8.0,0.00895397622260701
GBP_USD,H4,ok,forex,1663,34,3014,200,0.28627938347816195,0.7789877213040837,3.752867891211309,0.73963421195243,2.3682099526511076,1.6347991343681232,12,4.0,0.5,0.5334044539273007,1.5,0.017855860960340288
