symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
GOOG,M1,ok,equity,bars,52932,36,100179,200,-0.41096825223287237,2.3341829126666003,5.762973287536513,1.4588571328177053,3.047056140522453,1.825422677069463,34,12.0,3.0,3.0,3.0,0.005007515925569346
GOOG,M15,ok,equity,bars,16662,23,32889,200,0.33070158456321463,1.1195687915899502,7.992422819210588,1.080289607420407,3.186281408838701,0.3934423106579682,28,12.0,3.0,3.0,3.0,0.005442066122330718
GOOG,M30,ok,equity,bars,9932,19,18417,200,1.9681198868471816,1.0357227814940997,3.847663141960907,1.1694242338245788,1.5609913875317765,0.3002297942427208,15,12.0,3.0,3.0,3.0,0.006365586810999457
GRTUSD,H1,ok,crypto,bars,23295,145,44759,200,0.11070832701789253,1.817043292479724,4.381121054272675,1.60344437091876,4.938776820703297,2.4712432370258615,46,24.0,3.0,15.0,3.0,0.024819069032853573
GRTUSD,H4,ok,crypto,bars,5903,138,11365,200,1402.0933997398195,1.8869239057221725,8.608823120097213,1.9710581441791164,4.958124572488396,2.0479006644273867,34,24.0,3.0,15.0,3.0,0.02800168400902814
GRTUSD,M1,ok,crypto,bars,52476,36,100075,200,-0.4264450552716694,2.997024743644253,6.757909583588708,1.9972546509443811,4.884904970870681,1.4478467156342922,47,24.0,3.0,15.0,3.0,0.0050052734086696695
GRTUSD,M15,ok,crypto,bars,51642,80,100997,200,0.00455798529877396,2.7558867919374737,7.1078626064354316,1.7545651246398142,3.7800313807706396,1.3112663601960737,48,24.0,3.0,15.0,3.0,0.012292049024239799
GRTUSD,M30,ok,crypto,bars,39727,92,77025,200,0.022957831806423853,2.735976079845015,6.7846962718399855,0.9344259649853826,4.8244120008310585,1.977595409859501,37,24.0,3.0,15.0,3.0,0.017689053915531754
JP225.cash,H1,ok,index,bars,7280,96,29801,200,0.025217608379827457,2.257876297025676,7.283049745608418,1.293928317256892,2.717204813872763,0.3008643847027939,26,11.0,3.0,2.0,3.0,0.021335906286994385
JP225.cash,H4,ok,index,bars,1903,96,7957,200,1404.0123535320536,2.171907536291701,7.418008292072521,1.3714637496940167,1.698924644394733,0.9949432709134285,31,11.0,3.0,2.0,3.0,0.02379635891431354
JP225.cash,M1,ok,index,bars,18007,36,100235,200,-0.9050759656070356,2.465336659783847,7.871341935698425,1.4488955589608714,3.9391033100444006,0.6874780788008312,24,11.0,3.0,2.0,3.0,0.0050048639765124595
JP225.cash,M15,ok,index,bars,20585,80,100906,200,-0.16652181434048857,2.4745932773139256,7.481580703625672,1.2369546590483587,3.812287774228414,0.42125904442573314,14,11.0,3.0,2.0,3.0,0.006353570734489186
JP225.cash,M30,ok,index,bars,11803,64,54672,200,-0.0748680493479377,2.076500138612215,4.961720229912293,1.3596814832412234,3.2469809755685013,1.5273060093473794,34,11.0,3.0,2.0,3.0,0.011464433770640093
LVMH,H1,ok,equity,bars,7741,43,14196,200,1.9590191963802457,1.108416916656769,7.354779386078298,1.308180731892731,1.3489418587237834,0.4934374601355185,23,12.0,3.0,3.0,3.0,0.011659501376604684
LVMH,H4,ok,equity,bars,2641,57,4838,200,657.9607244865231,0.8569268409580244,4.957333177539075,0.8196463730662322,1.2294650465486452,0.7591407336483099,32,12.0,3.0,3.0,3.0,0.02580544946010883
LVMH,M1,ok,equity,bars,52980,36,100070,200,-0.7240470831937719,2.2941846013880687,5.637845640526284,1.2651213950163027,3.536148049614705,0.6772107291641387,32,12.0,3.0,3.0,3.0,0.005059475145253879
LVMH,M15,ok,equity,bars,22023,30,41896,200,0.013460626575123417,2.158377038077301,6.995473384268582,0.8034712620694354,1.3465144464019756,0.3052625442045433,18,12.0,3.0,3.0,3.0,0.006730374404845572
LVMH,M30,ok,equity,bars,12432,25,23061,200,1.5032691260754505,1.8228466810673136,7.597724273687233,1.0300422707618166,3.9401359487699232,0.9150266351551966,29,12.0,3.0,3.0,3.0,0.01058645843803613
NVDA,H1,ok,equity,bars,5062,26,9051,200,3.2371899994965654,2.2012708951731965,4.281662650012905,1.4743791496738547,2.637643870371861,1.790094467850431,27,12.0,3.0,3.0,3.0,0.022798070799836073
NVDA,H4,ok,equity,bars,1621,31,2754,200,89.03267347921008,2.353838116162699,7.905017449799488,0.7972640994985082,1.9837793294228396,0.7948202350467057,24,12.0,3.0,3.0,3.0,0.012562329985317236
NVDA,M1,ok,equity,bars,52912,36,100179,200,-0.3645883041845933,2.2986266931277717,7.996881674220574,1.4367872608714554,2.0707585889530287,1.9976895853507868,29,12.0,3.0,3.0,3.0,0.00504150782609489
NVDA,M15,ok,equity,bars,15654,21,30592,200,0.7702341490983978,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,12.0,3.0,3.0,3.0,0.0064520903042049865
NVDA,M30,ok,equity,bars,8718,16,15851,200,2.6204170882138285,1.4784157298265863,6.829756098751487,0.6271722941332645,2.8857849781318987,0.4124726851474049,18,12.0,3.0,3.0,3.0,0.007205967562082752
PFE,H1,ok,equity,bars,6390,35,11741,200,1.14225194946023,1.578529639025036,3.8124693638820486,0.8664632873473463,1.9447097539922724,0.8012294134566215,34,12.0,3.0,3.0,3.0,0.015999653713458666
PFE,H4,ok,equity,bars,1906,40,3453,200,8.222542878872781,1.7143394468899693,3.5856163283196487,0.3058714515262949,3.78009692034444,1.3265943273394116,6,12.0,3.0,3.0,3.0,0.02742648291633867
PFE,M1,ok,equity,bars,22002,36,100176,200,-0.43411631037021725,2.4963189862935318,5.059248269622866,1.1228165103053582,1.1542566528000693,1.8977274772608959,23,12.0,3.0,3.0,3.0,0.00502066914316296
PFE,M15,ok,equity,bars,17079,23,33024,200,0.7995566004769177,2.4300310809804273,6.673033335006696,1.4986048483324927,2.662510302842222,0.6136263822298738,35,12.0,3.0,3.0,3.0,0.010518748264642228
PFE,M30,ok,equity,bars,10016,19,18461,200,0.5357850975447953,2.169141762410366,7.396098123527141,1.1185493350497395,1.5722405851069898,0.8021950230174142,25,12.0,3.0,3.0,3.0,0.013535616520180111
RACE,H1,ok,equity,bars,5398,29,9883,200,0.512428279374281,1.4350976438779905,7.635449147721999,0.38361674600703954,3.6734027117217947,0.30111357985770965,20,12.0,3.0,3.0,3.0,0.016228657293676747
RACE,H4,ok,equity,bars,1687,33,2912,200,1755.4030158144885,1.0471445575728968,4.27931857137267,1.1861957225400073,1.6129459715536438,1.104664697985704,34,12.0,3.0,3.0,3.0,0.026486775667177373
RACE,M1,ok,equity,bars,48565,36,100177,200,-0.7300882442035004,2.492219119078281,7.230346619691581,1.1154618856132101,3.995942400346581,1.7002853725759428,30,12.0,3.0,3.0,3.0,0.0050438025380571
RACE,M15,ok,equity,bars,15771,21,31145,200,0.3282938468859152,1.7609172062090361,7.166019544250179,1.3419243636701308,2.9521223826609333,1.8592888759733184,19,12.0,3.0,3.0,3.0,0.006476728107768801
RACE,M30,ok,equity,bars,8943,16,16595,200,2.035781501912655,1.0681021942174693,7.637464318155107,1.4430787518346406,2.936410256958284,0.4947479027814684,10,12.0,3.0,3.0,3.0,0.00711075697633612
SOLUSD,H1,ok,crypto,bars,3755,19,6947,200,0.9181379817209662,2.167145767088517,3.8398278046668217,1.5107099751319044,2.5744450253175906,1.8535377338238734,47,24.0,3.0,15.0,3.0,0.025416970644019557
SOLUSD,H4,ok,crypto,bars,1099,20,1907,200,2767.985922010287,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,24.0,3.0,15.0,3.0,0.028046855875577918
SOLUSD,M1,ok,crypto,bars,51093,36,100069,200,-0.61157289556745,2.8607327757732977,9.696953198841204,1.995674974430608,2.4726601276873943,2.34564757268408,38,24.0,3.0,15.0,3.0,0.0050538058686812725
SOLUSD,M15,ok,crypto,bars,14174,18,27199,200,0.01623064499183349,2.2013378250079354,9.333077177915618,1.7412192280999257,3.9655742758468806,2.202340263090093,47,24.0,3.0,15.0,3.0,0.015335183858447902
SOLUSD,M30,ok,crypto,bars,7268,13,13697,200,1.458707841495916,1.7724730585621868,7.248938881079808,1.7408102080105656,3.717803089477785,2.225547917596976,40,24.0,3.0,15.0,3.0,0.012858895086864
TSLA,H1,ok,equity,bars,6321,35,11735,200,3.3522398992116074,0.5541299250805788,6.975664839665408,1.476771293212877,3.463077961240007,1.335821533241446,28,12.0,3.0,3.0,3.0,0.0055335573056237465
TSLA,H4,ok,equity,bars,1938,40,3452,200,2742.872850711559,0.8370029232857014,5.56919908895398,1.0360466058671585,2.686514166996342,0.3362053252308361,13,12.0,3.0,3.0,3.0,0.024995590119259285
TSLA,M1,ok,equity,bars,44345,36,100179,200,-0.2849620125023355,2.1646155577109694,6.853776441431444,1.2239775686610688,3.6410956130905516,1.8255156696881512,31,12.0,3.0,3.0,3.0,0.0050220718933278
TSLA,M15,ok,equity,bars,16989,23,32874,200,0.1415540460680114,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,12.0,3.0,3.0,3.0,0.0064520903042049865
TSLA,M30,ok,equity,bars,9980,19,18408,200,2.5103440475553223,1.4157720491999142,5.513888388583978,0.6637154658273083,2.6118697154616664,1.1938298085007752,13,12.0,3.0,3.0,3.0,0.006422392068241036
UKOIL.cash,H1,ok,commodity,bars,14716,88,27577,200,0.22158412520043086,2.284535698013037,7.255634114658602,1.159727279846372,1.3130651891794478,0.4614833754381721,22,13.0,3.0,4.0,3.0,0.021636465793152187
UKOIL.cash,H4,ok,commodity,bars,4393,95,7922,200,635.5133890174837,1.6017150659379742,5.346296553323752,1.3399016093131684,3.6971039679273585,0.6959552036260079,16,13.0,3.0,4.0,3.0,0.029153031892161858
UKOIL.cash,M1,ok,commodity,bars,51632,36,100067,200,-1.0581860923027426,2.4968885090875483,6.178459247259026,1.209874642673483,2.450771693527143,1.8937912164845405,35,13.0,3.0,4.0,3.0,0.005003967094917231
UKOIL.cash,M15,ok,commodity,bars,50225,75,95783,200,-0.06725854577093672,2.150013526598364,4.821888157562098,0.3081871930724652,3.548452151107081,0.8530158592348636,22,13.0,3.0,4.0,3.0,0.005883451500606008
UKOIL.cash,M30,ok,commodity,bars,26628,59,50309,200,0.015136338419534545,1.4735949969198763,6.357649100447832,1.4970786095346376,3.9812057113676853,0.31568703737556675,19,13.0,3.0,4.0,3.0,0.005714090431073919
UNIUSD,H1,ok,crypto,bars,19907,125,38778,200,188.48867303507754,2.8156846793632035,5.162044571103527,1.7159514490202714,2.611790368032498,2.3635308737569822,39,24.0,3.0,15.0,3.0,0.022826674521200956
UNIUSD,H4,ok,crypto,bars,5199,121,10001,200,826.3352472622319,1.608026006076298,3.5365355479001526,1.228606826667019,1.593926859555545,0.7076606421666977,45,24.0,3.0,15.0,3.0,0.029379654256081068
UNIUSD,M1,ok,crypto,bars,51319,36,100069,200,-0.3927270088462705,2.9994487164280477,9.549441383977097,1.740064532876734,4.320943125891152,1.2936669626898532,40,24.0,3.0,15.0,3.0,0.005049127371866106
UNIUSD,M15,ok,crypto,bars,51096,80,100994,200,0.014315433446479453,1.5694256913490077,9.123577037295476,1.8492840837404225,4.955898298879151,1.9321817337951617,38,24.0,3.0,15.0,3.0,0.007327765981045838
UNIUSD,M30,ok,crypto,bars,39421,92,77184,200,0.0879909654094907,2.7754573053856366,6.75087521639812,1.9226997351271577,4.819145145218574,1.166294470064498,38,24.0,3.0,15.0,3.0,0.012802335401034216
US30.cash,H1,ok,index,bars,16283,133,40933,200,0.085637111265414,2.011232587962439,7.338679922224528,0.406106776394624,2.773506139764242,0.999907034637666,34,6.0,0.0,2.0,2.0,0.021119501738079735
US30.cash,H4,ok,index,bars,4636,133,10897,200,403.5350733474659,0.7431305448314705,6.209603709558129,1.2705143152504064,3.997187011886201,0.7852581854410978,35,6.0,0.0,2.0,2.0,0.027697311048737683
