symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
EU50.cash,M30,ok,index,bars,25984,57,49099,200,0.009919856546313383,2.4094226137417265,4.141481476258851,1.0683316736632689,1.3295039128954074,0.44878199721774015,10,5.0,0.0,2.0,1.5,0.018181198915653785
GER40.cash,H1,ok,index,bars,14707,89,27818,200,0.09628272015682379,2.193717548038027,3.823814510803382,1.4404792016814376,2.0144469956398403,0.32645001928717066,34,5.0,0.0,2.0,1.5,0.016396075082392714
GER40.cash,H4,ok,index,bars,4151,93,7735,200,346.9208111499838,1.684829137724085,2.278702476319986,1.029053822281726,1.5115723710618747,0.41058770807497513,35,5.0,0.0,2.0,1.5,0.02914080082686398
GER40.cash,M1,ok,index,bars,52227,36,100067,200,-0.980787794113083,2.40014641636031,6.527762005836244,1.4010960042232208,1.4189684373641207,1.7584345350060369,31,5.0,0.0,2.0,1.5,0.00502080482395257
GER40.cash,M15,ok,index,bars,49163,75,95883,200,-0.04109054921741148,2.4998532307234207,6.536004452543125,1.3957152539698494,1.6529623199282881,0.4358685726535144,31,5.0,0.0,2.0,1.5,0.010971650132713964
GER40.cash,M30,ok,index,bars,26292,59,50514,200,-0.09316335647649276,2.0062586457705236,7.192685700310147,1.0634519306873254,1.6419333605891246,1.1936233122407502,10,5.0,0.0,2.0,1.5,0.01309269897093706
GOOG,H1,ok,equity,bars,6356,35,11741,200,1.438591084430623,1.3867335314420528,7.6380265312384745,0.7848465639865203,3.533212348719017,0.7048243290482614,10,8.4,0.4,3.0,2.5,0.018448493737709494
GOOG,H4,ok,equity,bars,1940,40,3453,200,23.9027292211345,2.1167946962329225,3.8276826150402243,0.4172065368076606,3.052699079536471,1.0482592393573222,9,8.4,0.4,3.0,2.5,0.017379422752781752
GOOG,M1,ok,equity,bars,52932,36,100179,200,-0.3328428780621805,2.3756339805101785,7.550636856513581,1.379698487576691,3.5508658006696288,1.7146577081411594,33,8.4,0.4,3.0,2.5,0.00640605085890222
GOOG,M15,ok,equity,bars,16662,23,32889,200,1.818201300717891,1.1907602521865892,7.459198167773182,0.9071575697707134,1.8826749097872684,0.3474274728678337,28,8.4,0.4,3.0,2.5,0.005578599459776081
GOOG,M30,ok,equity,bars,9932,19,18417,200,3.365548165765515,1.8223407950147272,4.730298481587018,0.6540701858555199,2.5219965451649715,0.5304162759677327,16,8.4,0.4,3.0,2.5,0.012648467343329537
GRTUSD,H1,ok,crypto,bars,23295,145,44759,200,0.04106609242701632,2.2376274486795604,5.928728487185531,0.5712917206939697,3.8913238296513364,2.3576491309230887,42,37.5,6.5,15.0,8.0,0.028432810002882582
