symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
XAU_USD,ok,commodity,metals,H4,0.6,2.92,4.9,0.3,1.38,1.04,21,2.28,4.9,0.8,2634.93,76961.52,76.96,0.03,0.03,1.01,0.0248,24.6,337,5.6,35,1.6144,0.4946,50.7,1.5,22.3,19.0,6.5,false,true,23,314
XAU_AUD,ok,commodity,metals,H4,1.69,7.44,4.4,1.43,3.69,0.83,36,2.87,5.1,1.0,-3040.46,94215.59,94.22,-0.04,-0.03,0.99,-0.0268,20.5,283,7.6,35,1.8637,0.5141,45.2,2.1,33.9,16.3,2.5,false,true,20,263
AAVUSD,ok,crypto,crypto,H4,1.63,7.35,4.5,1.76,4.55,2.41,11,3.0,23.2,0.7,-2948.18,35330.15,35.33,-0.09,-0.08,0.99,-0.0286,27.8,162,5.9,18,5.7577,2.2541,37.0,1.9,29.0,11.1,21.0,false,true,22,140
XAG_USD,ok,commodity,metals,H4,1.87,6.67,3.6,1.1,3.92,1.3,35,2.93,9.6,5.5,-8377.9,84053.1,84.05,-0.07,-0.1,0.99,-0.1241,16.9,326,6.1,35,3.5602,0.8719,54.0,1.5,29.1,10.7,4.6,false,true,26,300
ETCUSD,ok,crypto,crypto,H4,1.65,6.99,4.2,0.44,2.8,1.88,19,2.09,26.5,4.0,-6167.97,46790.23,46.79,-0.22,-0.13,0.96,-0.0725,23.1,130,8.7,18,6.3,1.9843,40.8,1.5,35.4,18.5,3.8,false,true,23,107
US100.cash,ok,index,us_idx,H4,0.56,7.07,12.5,0.41,1.25,1.14,24,2.71,3.6,0.6,-7711.18,58914.67,58.91,-0.12,-0.13,0.98,0.0571,19.0,342,5.4,35,1.9504,0.3872,36.3,1.5,44.4,17.0,0.9,false,true,29,313
BABA,ok,equity,us_equity,H4,1.49,5.18,3.5,1.47,1.54,1.25,25,3.0,13.5,8.1,-6434.82,42340.92,42.34,-0.35,-0.15,0.95,-0.0372,25.6,78,5.6,8,6.6771,2.3525,44.9,2.6,29.5,20.5,2.6,false,true,32,46
IMXUSD,ok,crypto,crypto,H4,1.43,8.43,5.9,1.75,4.18,1.83,31,2.94,29.4,6.9,-7532.15,43370.51,43.37,-0.19,-0.17,0.97,-0.2931,24.8,129,9.0,18,8.4827,3.1882,48.8,3.1,25.6,17.1,5.4,false,true,23,106
NERUSD,ok,crypto,crypto,H4,2.88,9.22,3.2,2.0,2.59,1.19,44,3.0,54.2,31.7,-25930.71,95287.29,95.29,-0.77,-0.27,0.87,0.4364,29.6,108,9.9,18,8.8438,3.1035,44.4,4.6,21.3,13.9,15.7,false,true,20,88
NZD_USD,ok,forex,forex,H4,2.4,7.53,3.1,1.31,3.68,0.68,21,1.63,4.9,1.4,-3345.38,12263.21,12.26,-0.25,-0.27,0.96,-0.0299,21.2,113,8.4,35,1.2041,0.3627,33.6,2.7,41.6,19.5,2.7,false,true,10,103
