symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
GBP_CAD,killed_negative_ev,0,H4,-0.00008494304522644968,40,1660,cuda,forex,-0.00008494304522644968,0.5,0.9585484193831207,1.5,,,,,,,,,,
GBP_CHF,killed_negative_ev,0,H4,-0.00007934142117503702,40,1553,cuda,forex,-0.00007934142117503702,0.5,1.2674615461222827,1.5,,,,,,,,,,
GBP_JPY,ok,0,H4,0.000045984457125543885,80,1611,cuda,forex,0.000045984457125543885,0.5,0.9527086034880081,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
GBP_NZD,killed_negative_ev,0,H4,-0.00004037738498966965,40,1572,cuda,forex,-0.00004037738498966965,0.5,1.023438977451746,1.5,,,,,,,,,,
GBP_USD,ok,0,H4,3.747006114420893e-6,80,1663,cuda,forex,3.747006114420893e-6,0.5,0.5334044539273007,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
GER40.cash,ok,0,H4,0.001002509562967438,80,1594,cuda,index,0.001002509562967438,0.0,0.6510143715328602,1.5,367,9,0.009393743708947746,0.852885772087796,0.7605174740659862,0.21548891051871064,4.898994815441395,0.301698379613685,0.007518541527968323,0.5887978581236905
GOOG,insufficient_rows,,,,,514,,equity,,,,,,,,,,,,,,
GRTUSD,ok,0,H4,0.010990942248426368,80,822,cuda,crypto,0.010990942248426368,6.5,4.847701381594136,8.0,1220,5,0.9111203470361358,0.7868104274964598,0.771024085529432,0.041083039663712455,0.21344696564297116,1.7346358364752328,0.013760518928655619,0.941371741302984
HEATOIL.c,killed_negative_ev,0,H4,-0.039880918497128284,40,870,cuda,commodity,-0.039880918497128284,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,
HK50.cash,ok,0,H4,0.0029525627760767733,80,1465,cuda,index,0.0029525627760767733,0.0,2.636512772439653,1.5,1711,5,0.09966509673268606,0.4967084342039303,0.4297987865699226,0.08096494061832228,0.0002773279998177076,0.3837871833530535,0.15933858925218536,0.6461112578457641
IBE,killed_negative_ev,0,H4,-0.0020102742624671715,40,808,cuda,equity,-0.0020102742624671715,0.4,29.090909090908468,2.5,,,,,,,,,,
ICPUSD,ok,0,H4,0.014979103193507261,80,871,cuda,crypto,0.014979103193507261,6.5,5.96006754743243,8.0,52,6,0.02213770002438636,0.9008559918527769,0.6392802153012886,0.003842297261810736,0.0025584790848772305,1.2718440036059158,0.0336261117454187,0.7032511809689257
IMXUSD,ok,0,H4,0.016839931418358992,80,818,cuda,crypto,0.016839931418358992,6.5,6.926646810278381,8.0,1312,5,0.11505246398253409,0.6362145061853093,0.6113937739164877,0.004339626544380389,0.46351409446651687,1.0178855477342579,0.06158107380809119,0.7895556520775558
JP225.cash,ok,0,H4,0.0016940217501477748,80,1511,cuda,index,0.0016940217501477748,0.0,1.312811763171032,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
LNKUSD,ok,0,H4,0.010650618653172215,80,813,cuda,crypto,0.010650618653172215,6.5,1.9212911076243964,8.0,647,6,0.19670001388420558,0.6374548709361098,0.8280573135014196,0.00895234265765267,0.038890326852454464,1.067331512322557,0.019603198821635758,0.9406669780267176
LTCUSD,killed_negative_ev,0,H4,-0.001221716356437504,40,2116,cuda,crypto,-0.001221716356437504,6.5,27.939847152601153,8.0,,,,,,,,,,
LVMH,ok,0,H4,0.004145225911072945,80,779,cuda,equity,0.004145225911072945,0.4,2.429656764257795,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
MANUSD,ok,0,H4,0.009171734607793509,80,822,cuda,crypto,0.009171734607793509,6.5,11.930801352156172,8.0,139,4,0.02370736473869761,0.7183429463125552,0.6660243944886727,0.12785243458451018,0.022413145734983344,1.6522725280570838,0.025154215094645143,0.8493692589493714
META,ok,0,H4,0.013579094379171729,80,541,cuda,equity,0.013579094379171729,0.4,5.26092147062971,2.5,1023,8,0.04277210314220867,0.8397809883090904,0.3044642747045071,0.000043690611657617754,0.005701419562132569,0.4347506342447999,0.21357514578392112,0.5681706342736215
MSFT,ok,0,H4,0.0029674444379337206,80,548,cuda,equity,0.0029674444379337206,0.4,3.352490421456973,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
N25.cash,killed_negative_ev,0,H4,-0.0007448285853112837,40,1018,cuda,index,-0.0007448285853112837,0.0,14.378888894635708,1.5,,,,,,,,,,
NATGAS.cash,killed_negative_ev,0,H4,-0.0078385368114531,40,1088,cuda,commodity,-0.0078385368114531,0.13999999999999999,110.62260672244986,3.0,,,,,,,,,,
NEOUSD,killed_negative_ev,0,H4,-0.02201317131861637,40,2064,cuda,crypto,-0.02201317131861637,6.5,240.9638554216865,8.0,,,,,,,,,,
NERUSD,ok,0,H4,0.006865323810956953,80,845,cuda,crypto,0.006865323810956953,6.5,31.41126318151275,8.0,803,5,0.06821400787327003,0.8769454511558187,0.5424287358135137,0.002305328807907572,0.04695958075915908,1.0194628967874784,0.04720951404194051,0.6298659281341408
NFLX,insufficient_rows,,,,,517,,equity,,,,,,,,,,,,,,
NVDA,insufficient_rows,,,,,508,,equity,,,,,,,,,,,,,,
NZDUSD,killed_negative_ev,0,H4,-0.0008687982608778878,40,1639,cuda,forex,-0.0008687982608778878,3.0,1.3918853086500278,5.0,,,,,,,,,,
NZD_CAD,killed_negative_ev,0,H4,-0.00009851700732177743,40,1632,cuda,forex,-0.00009851700732177743,0.5,1.7756627661272617,1.5,,,,,,,,,,
NZD_CHF,killed_negative_ev,0,H4,-0.00009462995949534089,40,1583,cuda,forex,-0.00009462995949534089,0.5,2.559508574354254,1.5,,,,,,,,,,
