symbol,status,cluster,session,timeframe,prob_threshold,n_folds,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,wins,losses,avg_bars_held,ftmo_ok,risk_pct,fee_bps,spread_bps,slippage_bps,cost_pct,sl,tp,be,trail_act,trail_dist,horizon,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,account_id
GALUSD,ok,crypto,crypto,H4,0.55,8,59,-1267.16,40928.46,40.93,-0.06,-0.03,0.99,15.3,9,50,10.0,false,2.8,6.5,8.85,8.0,0.3135,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,57.6,3.4,23.7,5.1,10.2,ftmo_100k
AVAUSD,ok,crypto,crypto,H4,0.55,8,78,-597.83,11626.28,11.63,-0.17,-0.05,0.98,33.3,26,52,6.6,false,0.65,6.5,10.12,8.0,0.3262,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,52.6,0.0,11.5,14.1,21.8,ftmo_100k
COCOA.c,ok,commodity,agri,H4,0.55,10,101,-4962.59,27665.11,27.67,-0.34,-0.18,0.96,28.7,29,72,5.8,false,1.82,0.0,19.39,4.0,0.2739,1.6853020275088364,7.505603464704806,1.4315713703193818,2.790587132771224,0.6236184837941615,36,52.5,0.0,18.8,28.7,0.0,ftmo_100k
LVMH,ok,equity,us_equity,H4,0.55,6,70,-6621.51,33370.82,33.37,-0.47,-0.2,0.94,25.7,18,52,5.2,false,2.45,0.4,2.44,2.5,0.0784,1.0528239446981107,6.292200185937236,1.140666698318743,1.9481531879044665,1.3291025213399064,36,62.9,2.9,11.4,22.9,0.0,ftmo_100k
SANUSD,ok,crypto,crypto,H4,0.55,7,43,-2165.98,7885.38,7.89,-0.54,-0.27,0.9,23.3,10,33,12.2,true,0.9,6.5,11.25,8.0,0.3375,2.0167503518104,9.520281329379383,1.9204467125369271,3.996062715634336,0.5004088172694546,45,51.2,0.0,23.3,23.3,2.3,ftmo_100k
AUD_USD,ok,forex,forex,H4,0.55,17,168,-15867.27,46724.0,46.72,-0.69,-0.34,0.9,20.2,34,134,6.7,false,1.98,0.5,0.63,1.5,0.0413,1.9046672939945257,7.320924677681867,0.6070403675090202,3.1950591643512003,1.0701686765503866,36,35.1,0.6,44.6,19.0,0.6,ftmo_100k
BAYGn,ok,equity,us_equity,H4,0.55,6,50,-15714.12,34175.09,34.18,-1.17,-0.46,0.83,26.0,13,37,8.2,false,2.75,0.4,14.5,2.5,0.199,1.371866993758193,7.160829145334659,1.387417369655904,3.1852574888180984,1.7665002006323904,25,54.0,4.0,20.0,18.0,4.0,ftmo_100k
GBP_JPY,ok,forex,forex,H4,0.55,17,270,-68545.72,147607.28,147.61,-0.87,-0.46,0.9,11.5,31,239,3.1,false,2.78,0.5,0.95,1.5,0.0445,0.5265538633962099,7.093285141471014,0.5998255954933399,3.569854615201076,0.9216967986264396,20,61.9,0.4,26.7,9.3,1.9,ftmo_100k
BARUSD,ok,crypto,crypto,H4,0.55,8,46,-4696.32,9532.42,9.53,-1.55,-0.49,0.73,28.3,13,33,13.7,true,0.89,6.5,4.97,8.0,0.2747,2.8936078178306817,9.307700162440876,1.3848843471931918,3.2899998527881844,1.2546312063377387,32,37.0,0.0,28.3,21.7,13.0,ftmo_100k
MANUSD,ok,crypto,crypto,H4,0.55,7,66,-12323.23,23814.85,23.81,-0.9,-0.52,0.87,19.7,13,53,6.4,false,2.46,6.5,11.93,8.0,0.3443,1.3287399718941675,6.629410553363387,1.181740805261334,3.7352948604232092,1.0589209635259,17,53.0,1.5,27.3,10.6,7.6,ftmo_100k
GOOG,ok,equity,us_equity,H4,0.55,3,33,-13763.22,25928.32,25.93,-2.37,-0.53,0.77,33.3,11,22,5.5,false,3.0,0.4,5.17,2.5,0.1057,1.6385042995554957,7.266637875600518,1.3901493643404623,1.6131137969773617,1.2101279009548838,33,57.6,0.0,9.1,33.3,0.0,ftmo_100k
FETUSD,ok,crypto,crypto,H4,0.55,8,70,-11851.12,21447.66,21.45,-1.51,-0.55,0.79,37.1,26,44,7.8,false,1.51,6.5,2.92,8.0,0.2542,2.081631073092576,6.441428584997173,1.4113179551349342,2.5134505342544373,1.6606563946151727,12,40.0,1.4,8.6,8.6,41.4,ftmo_100k
XLMUSD,ok,crypto,crypto,H4,0.55,7,55,-11333.79,15875.95,15.88,-1.39,-0.71,0.79,21.8,12,43,8.9,false,1.84,6.5,3.18,8.0,0.2568,1.5628417367151155,7.016729505310586,0.7420915625191966,3.43443376802072,2.398639797173686,46,45.5,3.6,30.9,18.2,1.8,ftmo_100k
USD_CHF,ok,forex,forex,H4,0.55,17,122,-48315.73,67046.5,67.05,-2.08,-0.72,0.69,39.3,48,74,10.5,false,2.42,0.5,0.76,1.5,0.0426,2.232125385802005,6.977796360275555,1.143161954507228,2.1293469644313725,1.920140753118375,35,40.2,1.6,19.7,36.9,1.6,ftmo_100k
ALGUSD,ok,crypto,crypto,H4,0.55,8,74,-8698.61,11907.02,11.91,-2.46,-0.73,0.71,32.4,24,50,7.2,false,0.65,6.5,15.69,8.0,0.3819,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,52.7,0.0,6.8,10.8,29.7,ftmo_100k
XCU_USD,ok,commodity,agri,H4,0.55,7,96,-96071.24,128832.17,128.83,-3.82,-0.75,0.63,11.5,11,85,4.2,false,2.66,0.1,8.16,2.0,0.123,0.5753364345684225,3.529632617312111,1.2280328933854294,3.5782547735033288,0.5142125683042249,33,70.8,10.4,17.7,0.0,1.0,ftmo_100k
ICPUSD,ok,crypto,crypto,H4,0.55,8,67,-67247.39,85114.03,85.11,-3.36,-0.79,0.55,14.9,10,57,8.8,false,2.8,6.5,5.97,8.0,0.2847,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,67.2,1.5,17.9,7.5,6.0,ftmo_100k
GRTUSD,ok,crypto,crypto,H4,0.55,7,68,-6261.28,7844.13,7.84,-1.34,-0.8,0.8,23.5,16,52,6.6,true,0.78,6.5,4.88,8.0,0.2738,1.280341665766044,7.433932487094906,1.6196805103103586,4.840921837121592,1.9088918898422078,13,54.4,4.4,17.6,0.0,23.5,ftmo_100k
