symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
AUS200.cash,ok,,0,H4,0.0007962159425252616,1098,3,0.7329220591633955,0.9499207122974885,0.7189555471309672,0.027561931982143982,0.15016743896396303,2.3394262666488865,0.15228880754776214,0.6389643696216533,150,5467,cuda,index,0.0007962159425252616,0.0,1.5651085141900798,1.5,39,false,ftmo_100k
AVAUSD,ok,,0,H4,0.0024528123470088014,655,5,0.031814255442990866,0.6110929297579062,0.5286921259068318,0.009689946444746843,1.9850827150623445,60.195784134729536,0.16024733990187298,0.9677641979326883,150,5271,cuda,crypto,0.0024528123470088014,6.5,10.075566750628912,8.0,39,false,ftmo_100k
BABA,ok,,0,H4,0.01935672989062473,643,2,0.0335440690067074,0.487878100442688,0.7118125474527365,0.0018164706321268488,0.000012715474621246762,0.31118996788007586,0.2954904969385557,0.8202164114803306,150,1500,cuda,equity,0.01935672989062473,0.4,8.118380752058279,2.5,39,false,ftmo_100k
BAC,ok,,0,H4,0.0004900402997610104,545,5,0.32857917125443586,0.4241602703728835,0.43273718125896,0.0002136445250556038,0.00002901198703424546,19.844200056116236,0.01577253994412733,0.9632847187902616,150,1580,cuda,equity,0.0004900402997610104,0.4,19.02225603956521,2.5,39,false,ftmo_100k
BARUSD,ok,,0,H4,0.004100215582769752,972,5,1.4438521994326077,0.5523387001775157,0.5402612763011249,0.03774363896032825,0.2791339849311775,4.971725158519997,0.23601954237111103,0.4628831053909662,150,5538,cuda,crypto,0.004100215582769752,6.5,4.963463394457837,8.0,39,false,ftmo_100k
BAYGn,ok,,0,H4,0.0022699437225518503,138,7,0.17466395639980498,0.9312333618556355,0.5326116093749237,0.11180852106974506,0.00009133332881154252,51.3046970685622,0.01627299339843196,0.5045684843456171,150,2579,cuda,equity,0.0022699437225518503,0.4,14.56664238892904,2.5,39,false,ftmo_100k
BCHUSD,ok,,0,H4,0.0014679937706845603,419,8,0.6305207316716104,0.4472883029411402,0.3430319924623378,0.0020766854402204946,0.3421689180638843,16.851492976088252,0.06515816344643197,0.3625823756311068,150,8887,cuda,crypto,0.0014679937706845603,6.5,16.87763713080073,8.0,39,false,ftmo_100k
BNBUSD,ok,,0,H4,0.0008410815187447872,619,9,0.041972074251415324,0.7901910962722187,0.7472044942131015,68.47833304689054,8.338536430462492,1.4139491060274871,0.06427148095495908,0.3396050577628341,150,7200,cuda,crypto,0.0008410815187447872,6.5,0.30184123151195,8.0,39,false,ftmo_100k
BNB_USD,ok,,0,H4,0.006331650829445979,323,5,0.00963430608266189,0.7166525508957071,0.32472971367893594,0.00004344402293899083,0.0081603583685154,0.34032227922014,0.21480336301608924,0.8391590055931102,150,507,cuda,index,0.006331650829445979,3.0,2.2914757103566887,3.0,39,false,ftmo_100k
BTCUSD,ok,,0,H4,0.0005619003561151393,658,8,0.02461407208747782,0.6035104967252959,0.8550778176228984,0.6376239738977598,30.18992195194188,1.1831790129294342,0.08553191595812498,0.7386467609780517,150,8938,cuda,crypto,0.0005619003561151393,6.5,0.2448216343978767,8.0,39,false,ftmo_100k
BTC_USD,ok,,0,H4,0.006321425928746699,250,3,0.1290933858391174,0.597353972257206,0.5949183678947416,0.000030900059410788096,0.00016272959457029813,0.3426416215427234,0.18338026121374748,0.3992286551431136,150,528,cuda,index,0.006321425928746699,3.0,2.0425996221097895,3.0,39,false,ftmo_100k
