symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
JP225.cash,ok,6107,index,0,H1,0.0007036094362026698,600,cuda,0.0007036094362026698,0.0,1.312811763171032,1.5,979,4,0.0019304842047247052,0.47157933140456876,0.7658498180142241,0.00005457144981259235,0.04113422754167843,1.3911061950552648,0.20050109178215517,0.30203690739865957
LNKUSD,killed_negative_ev,3441,crypto,0,H1,-0.00031340271654109345,200,cuda,-0.00031340271654109345,6.5,1.9212911076243964,8.0,,,,,,,,,,
LTCUSD,killed_negative_ev,8608,crypto,0,H1,-0.003071053274012935,200,cuda,-0.003071053274012935,6.5,27.939847152601153,8.0,,,,,,,,,,
LVMH,insufficient_rows,2389,equity,,,,,,,,,,,,,,,,,,,
MANUSD,killed_negative_ev,3450,crypto,0,H1,-0.0015336086380063724,200,cuda,-0.0015336086380063724,6.5,11.930801352156172,8.0,,,,,,,,,,
META,insufficient_rows,1800,equity,,,,,,,,,,,,,,,,,,,
MSFT,insufficient_rows,1811,equity,,,,,,,,,,,,,,,,,,,
N25.cash,killed_negative_ev,3569,index,0,H1,-0.001311788039562352,200,cuda,-0.001311788039562352,0.0,14.378888894635708,1.5,,,,,,,,,,
NATGAS.cash,killed_negative_ev,4102,commodity,0,H1,-0.010094668731920931,200,cuda,-0.010094668731920931,0.13999999999999999,110.62260672244986,3.0,,,,,,,,,,
NEOUSD,killed_negative_ev,8638,crypto,0,H1,-0.02411933078556994,200,cuda,-0.02411933078556994,6.5,240.9638554216865,8.0,,,,,,,,,,
NERUSD,killed_negative_ev,3430,crypto,0,H1,-0.002688742455568116,200,cuda,-0.002688742455568116,6.5,31.41126318151275,8.0,,,,,,,,,,
NFLX,insufficient_rows,1778,equity,,,,,,,,,,,,,,,,,,,
NVDA,insufficient_rows,1805,equity,,,,,,,,,,,,,,,,,,,
NZDUSD,killed_negative_ev,6537,forex,0,H1,-0.001152920916014819,200,cuda,-0.001152920916014819,3.0,1.3918853086500278,5.0,,,,,,,,,,
NZD_CAD,killed_negative_ev,6438,forex,0,H1,-0.0003103438386989953,200,cuda,-0.0003103438386989953,0.5,1.7756627661272617,1.5,,,,,,,,,,
NZD_CHF,killed_negative_ev,6410,forex,0,H1,-0.00034862043331918994,200,cuda,-0.00034862043331918994,0.5,2.559508574354254,1.5,,,,,,,,,,
NZD_JPY,killed_negative_ev,6556,forex,0,H1,-0.00019829009515435158,200,cuda,-0.00019829009515435158,0.5,1.5361657303366172,1.5,,,,,,,,,,
NZD_USD,killed_negative_ev,6537,forex,0,H1,-0.00020292091601481924,200,cuda,-0.00020292091601481924,0.5,1.3918853086500278,1.5,,,,,,,,,,
PFE,insufficient_rows,1817,equity,,,,,,,,,,,,,,,,,,,
RACE,insufficient_rows,1828,equity,,,,,,,,,,,,,,,,,,,
SANUSD,killed_negative_ev,3442,crypto,0,H1,-0.0013162584661325456,200,cuda,-0.0013162584661325456,6.5,11.10083256244096,8.0,,,,,,,,,,
SOLUSD,killed_negative_ev,3422,crypto,0,H1,-0.000534772137399254,200,cuda,-0.000534772137399254,6.5,1.7426156661144916,8.0,,,,,,,,,,
SOYBEAN.c,killed_negative_ev,4986,commodity,0,H1,-0.002144832178517175,200,cuda,-0.002144832178517175,0.0,18.773244574786244,4.0,,,,,,,,,,
SPN35.cash,insufficient_rows,3157,index,,,,,,,,,,,,,,,,,,,
SUGAR.c,insufficient_rows,1161,commodity,,,,,,,,,,,,,,,,,,,
T,insufficient_rows,1846,equity,,,,,,,,,,,,,,,,,,,
TSLA,insufficient_rows,1774,equity,,,,,,,,,,,,,,,,,,,
UK100.cash,killed_negative_ev,5826,index,0,H1,-0.00008917491461444518,200,cuda,-0.00008917491461444518,0.0,1.2533385058405841,1.5,,,,,,,,,,
UKOIL.cash,killed_negative_ev,5582,commodity,0,H1,-0.00002009427535988233,200,cuda,-0.00002009427535988233,0.0,2.6754063273354323,3.0,,,,,,,,,,
UNIUSD,ok,3304,crypto,0,H1,0.00010053647136326495,600,cuda,0.00010053647136326495,6.5,2.9615492193031243,8.0,784,4,0.018171142820640446,0.48533018878117584,0.8495147310456351,0.0018967022000316515,0.013175220012095121,7.698635033073985,0.29969850480201926,0.46100056544890583
US100.cash,ok,5867,index,0,H1,0.0005076777492072817,600,cuda,0.0005076777492072817,0.0,0.617091902983242,1.5,1680,3,0.002461763826697017,0.4651616049617395,0.9195919363691994,0.00009477587895986079,0.006642620495556193,2.5331701550578773,0.29968639834134664,0.4997434403363864
US2000.cash,killed_negative_ev,5836,index,0,H1,-0.0000425549528010893,200,cuda,-0.0000425549528010893,0.0,4.292572719571975,1.5,,,,,,,,,,
US30.cash,ok,5778,index,0,H1,0.00043187561434868154,600,cuda,0.00043187561434868154,0.0,0.4632369971955916,1.5,222,5,0.007037337252912444,0.4000150003791005,0.6049190086942657,0.00005925479550428978,0.00010929979214444817,0.5522884990985409,0.2995731761158838,0.5346569619921875
US500.cash,ok,5914,index,0,H1,0.000017478624854428325,600,cuda,0.000017478624854428325,0.0,1.046691147608667,1.5,717,6,0.010924663481672887,0.8591864745599842,0.32028289543593225,27.222496064994402,25.537269251969292,10.432744324946144,0.00860843547230575,0.640483446494845
USDCNH,insufficient_rows,2771,forex,,,,,,,,,,,,,,,,,,,
USDZAR,killed_negative_ev,6095,forex,0,H1,-0.001529549501308694,200,cuda,-0.001529549501308694,3.0,5.542311514787658,5.0,,,,,,,,,,
USD_CAD,killed_negative_ev,6306,forex,0,H1,-0.00022694277372485493,200,cuda,-0.00022694277372485493,0.5,0.44250724605577796,1.5,,,,,,,,,,
USD_CHF,killed_negative_ev,6382,forex,0,H1,-0.00019776833274402411,200,cuda,-0.00019776833274402411,0.5,0.7569545196500347,1.5,,,,,,,,,,
USD_CNH,insufficient_rows,2771,forex,,,,,,,,,,,,,,,,,,,
USD_CZK,killed_negative_ev,6200,forex,0,H1,-0.0010277453397607146,200,cuda,-0.0010277453397607146,0.5,6.337305306378557,3.0,,,,,,,,,,
USD_HKD,killed_negative_ev,5630,forex,0,H1,-0.0006787195414566157,200,cuda,-0.0006787195414566157,0.5,0.5248991009508555,3.0,,,,,,,,,,
USD_HUF,killed_negative_ev,6069,forex,0,H1,-0.0008736548759371196,200,cuda,-0.0008736548759371196,0.5,5.306908725666221,3.0,,,,,,,,,,
USD_ILS,killed_negative_ev,5790,forex,0,H1,-0.0009504912245148582,200,cuda,-0.0009504912245148582,0.5,6.289042516742918,3.0,,,,,,,,,,
