symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,error
USD_NOK,killed_negative_ev,0,H1,-0.0008055689562344734,40,6099,cuda,forex,-0.0008055689562344734,0.5,4.552249370418814,3.0,,,,,,,,,,,
USD_PLN,killed_negative_ev,0,H1,-0.000879782973493311,40,6270,cuda,forex,-0.000879782973493311,0.5,4.982873113502836,3.0,,,,,,,,,,,
USD_SEK,killed_negative_ev,0,H1,-0.0008757075367687064,40,6210,cuda,forex,-0.0008757075367687064,0.5,5.204350412098774,3.0,,,,,,,,,,,
USD_SGD,killed_negative_ev,0,H1,-0.0007644361458078145,40,2806,cuda,forex,-0.0007644361458078145,0.5,2.2344704305093774,3.0,,,,,,,,,,,
USD_ZAR,killed_negative_ev,0,H1,-0.0008676084751428238,40,6095,cuda,forex,-0.0008676084751428238,0.5,5.542311514787658,3.0,,,,,,,,,,,
USOIL.cash,killed_negative_ev,0,H1,-0.00009931871390630578,40,6073,cuda,commodity,-0.00009931871390630578,0.0,3.8984148542171044,3.0,,,,,,,,,,,
V,ok,0,H1,0.0001256359250880437,80,1769,cuda,equity,0.0001256359250880437,0.4,5.518594597909276,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
VECUSD,killed_negative_ev,0,H1,-0.0011568119883314022,40,3417,cuda,crypto,-0.0011568119883314022,6.5,8.81445570736124,8.0,,,,,,,,,,,
VOWG_p,killed_negative_ev,0,H1,-0.0020277676765014063,40,2380,cuda,equity,-0.0020277676765014063,0.4,28.74198540791566,2.5,,,,,,,,,,,
WHEAT.c,killed_negative_ev,0,H1,-0.00203312898694496,40,4881,cuda,commodity,-0.00203312898694496,0.0,20.51097517092455,4.0,,,,,,,,,,,
WMT,killed_negative_ev,0,H1,-0.00036385383346163296,40,1819,cuda,equity,-0.00036385383346163296,0.4,10.290183165261217,2.5,,,,,,,,,,,
XAG_AUD,ok,0,H1,3.891055912624929e-6,80,5932,cuda,commodity,3.891055912624929e-6,0.13999999999999999,4.121826865349976,2.0,1446,4,3.6808608148776107,0.72926216630837,0.4014121162875837,0.0007744762285330786,0.0002142973316927139,24.720106712713147,0.1734451662584154,0.7207805082202461,
XAG_EUR,ok,0,H1,2.146233628855322e-6,80,5968,cuda,commodity,2.146233628855322e-6,0.13999999999999999,4.552049844945301,2.0,1446,4,3.6808608148776107,0.72926216630837,0.4014121162875837,0.0007744762285330786,0.0002142973316927139,24.720106712713147,0.1734451662584154,0.7207805082202461,
XAG_USD,killed_negative_ev,0,H1,-0.000034922020237513246,40,5995,cuda,commodity,-0.000034922020237513246,0.13999999999999999,5.362183985995067,2.0,,,,,,,,,,,
XAU_AUD,killed_negative_ev,0,H1,-3.442148249749267e-6,40,6111,cuda,commodity,-3.442148249749267e-6,0.13999999999999999,0.9751875712335176,2.0,,,,,,,,,,,
XAU_EUR,killed_negative_ev,0,H1,-0.00008148644919215935,40,6127,cuda,commodity,-0.00008148644919215935,0.13999999999999999,1.5961437167796138,2.0,,,,,,,,,,,
XAU_USD,ok,0,H1,1.0686285840758204e-6,80,6160,cuda,commodity,1.0686285840758204e-6,0.13999999999999999,0.7966611047918627,2.0,1446,4,3.6808608148776107,0.72926216630837,0.4014121162875837,0.0007744762285330786,0.0002142973316927139,24.720106712713147,0.1734451662584154,0.7207805082202461,
XCU_USD,killed_negative_ev,0,H1,-0.000014785406221241384,40,3129,cuda,commodity,-0.000014785406221241384,0.13999999999999999,8.34999670394857,2.0,,,,,,,,,,,
XLMUSD,killed_negative_ev,0,H1,-0.0006965453598113818,40,3378,cuda,crypto,-0.0006965453598113818,6.5,3.100294527979816,8.0,,,,,,,,,,,
XMRUSD,killed_negative_ev,0,H1,-0.01012941334769583,40,8021,cuda,crypto,-0.01012941334769583,6.5,97.69961808331063,8.0,,,,,,,,,,,
XPD_USD,killed_negative_ev,0,H1,-0.0038732242286678284,40,6039,cuda,commodity,-0.0038732242286678284,0.13999999999999999,46.62875319292502,2.0,,,,,,,,,,,
XPT_USD,killed_negative_ev,0,H1,-0.0020682936080889777,40,6092,cuda,commodity,-0.0020682936080889777,0.13999999999999999,25.863201643074046,2.0,,,,,,,,,,,
XRPUSD,killed_negative_ev,0,H1,-0.004412611622679389,40,8249,cuda,crypto,-0.004412611622679389,6.5,40.947645510383644,8.0,,,,,,,,,,,
XTZUSD,killed_negative_ev,0,H1,-0.005059079287151192,40,3367,cuda,crypto,-0.005059079287151192,6.5,48.979591836734734,8.0,,,,,,,,,,,
ZM,killed_negative_ev,0,H1,-0.0005353204107763151,40,1860,cuda,equity,-0.0005353204107763151,0.4,15.862363492159778,2.5,,,,,,,,,,,
