symbol,timeframe,status,rows,cluster,n_signals,n_folds,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,error
BARUSD,H1,ok,6474,crypto,3447,1,200,0.0076445493120145275,2.843857705593861,8.097048755927155,0.9429955329640315,2.0476326205397304,2.4355784491548427,48,27.4,6.5,4.890573419733265,8.0,
BARUSD,H4,no_folds,1606,crypto,,,,,,,,,,,,,,,
BARUSD,M15,ok,26026,crypto,13457,17,200,-0.0018399842545279127,2.9721026153948538,9.505486430320193,1.476753144367251,4.340221218642767,1.5285447666318293,47,27.4,6.5,4.890573419733265,8.0,
BARUSD,M30,ok,12991,crypto,6837,6,200,0.0003037675615441941,1.0154228506048744,8.35368577723246,1.8174946003914099,4.928272455595058,1.1417838187980105,39,27.4,6.5,4.890573419733265,8.0,
BAYGn,H1,no_folds,4433,equity,,,,,,,,,,,,,,,
BAYGn,H4,no_folds,1446,equity,,,,,,,,,,,,,,,
BAYGn,M15,ok,16876,equity,8635,10,200,-0.0009337602947245598,0.5435711567587056,7.625583372030223,0.39632306304590414,2.375055845302425,0.30758692095679674,15,20.3,0.4,14.886490509861982,2.5,
BAYGn,M30,ok,8416,equity,4320,3,200,0.00002355971576698993,0.8766890205582418,7.82447559267577,1.2762763916258466,3.780538117742652,0.5329104148478778,19,20.3,0.4,14.886490509861982,2.5,
BCHUSD,H1,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
BCHUSD,H4,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
BCHUSD,M15,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
BCHUSD,M30,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
BNBUSD,H1,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
