symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
USD_ZAR,killed_negative_ev,1651,forex,0,H4,-0.0005745984996613949,40,cuda,-0.0005745984996613949,0.5,5.542311514787658,3.0,,,,,,,,,,,,
USOIL.cash,ok,1667,commodity,0,H4,0.0019284108390472108,80,cuda,0.0019284108390472108,0.0,3.8984148542171044,3.0,482,7,0.060390872934967525,0.8485861263541994,0.5356481441560185,0.0001804765813625184,0.0013528272062142462,1.2254912642562268,0.11169210065552063,0.8676197560682788,39,false
V,insufficient_rows,509,equity,,,,,,,,,,,,,,,,,,,,,
VECUSD,insufficient_rows,823,crypto,,,,,,,,,,,,,,,,,,,,,
VOWG_p,insufficient_rows,813,equity,,,,,,,,,,,,,,,,,,,,,
WHEAT.c,killed_negative_ev,1569,commodity,0,H4,-0.0014767506993024042,40,cuda,-0.0014767506993024042,0.0,20.51097517092455,4.0,,,,,,,,,,,,
WMT,insufficient_rows,494,equity,,,,,,,,,,,,,,,,,,,,,
XAG_AUD,ok,1592,commodity,0,H4,0.002370040453724021,80,cuda,0.002370040453724021,0.13999999999999999,4.121826865349976,2.0,769,3,0.07072942503653294,0.443206574121519,0.6976803702135582,0.008441360597673938,0.43534021080540053,1.6855245840720594,0.19811509652676487,0.9440772135448355,39,false
XAG_EUR,ok,1605,commodity,0,H4,0.002793306505368032,80,cuda,0.002793306505368032,0.13999999999999999,4.552049844945301,2.0,1603,2,0.963644855066317,0.9017444346386209,0.32178949618613856,0.09360044373776148,0.31253204436409937,2.2447774368858404,0.07890082197863994,0.3190802192207023,39,false
XAG_USD,ok,1627,commodity,0,H4,0.0034788137954916984,80,cuda,0.0034788137954916984,0.13999999999999999,5.362183985995067,2.0,1015,4,0.018097401232665428,0.5019072754781776,0.7228316576206604,0.0036737543192317456,0.002050474751656439,2.0509053985262113,0.13357151192140362,0.37205061025719777,39,false
XAU_AUD,ok,1597,commodity,0,H4,0.0010291719348547782,80,cuda,0.0010291719348547782,0.13999999999999999,0.9751875712335176,2.0,1934,8,0.03324802480488917,0.6677901275165592,0.5176918408167125,18.80583993430093,0.005163949317735703,1.204172714787785,0.11510855511457649,0.6831701376818988,39,false
XAU_EUR,ok,1635,commodity,0,H4,0.0009148586520596473,80,cuda,0.0009148586520596473,0.13999999999999999,1.5961437167796138,2.0,1699,2,0.19178044336395544,0.8080406360843827,0.4395609571040639,3.818490126984288,4.304278983124277,16.02261429271059,0.13300460439368672,0.8675630604106006,39,false
XAU_USD,ok,1618,commodity,0,H4,0.001271059830229088,80,cuda,0.001271059830229088,0.13999999999999999,0.7966611047918627,2.0,797,2,1.2885973405161417,0.8718837402313746,0.9032084528685569,0.5357100947770423,9.512398701974856,13.93276501348357,0.049777366424634026,0.44130672985677977,39,false
XCU_USD,insufficient_rows,818,commodity,,,,,,,,,,,,,,,,,,,,,
XLMUSD,insufficient_rows,818,crypto,,,,,,,,,,,,,,,,,,,,,
XMRUSD,killed_negative_ev,2056,crypto,0,H4,-0.00813101595478812,40,cuda,-0.00813101595478812,6.5,97.69961808331063,8.0,,,,,,,,,,,,
XPD_USD,killed_negative_ev,1605,commodity,0,H4,-0.0027174645051609757,40,cuda,-0.0027174645051609757,0.13999999999999999,46.62875319292502,2.0,,,,,,,,,,,,
XPT_USD,killed_negative_ev,1606,commodity,0,H4,-0.0008946535556983903,40,cuda,-0.0008946535556983903,0.13999999999999999,25.863201643074046,2.0,,,,,,,,,,,,
XRPUSD,killed_negative_ev,2010,crypto,0,H4,-0.0025732022800731766,40,cuda,-0.0025732022800731766,6.5,40.947645510383644,8.0,,,,,,,,,,,,
XTZUSD,insufficient_rows,828,crypto,,,,,,,,,,,,,,,,,,,,,
ZM,insufficient_rows,511,equity,,,,,,,,,,,,,,,,,,,,,
