symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
NFLX,M5,2026,1,2024-2025,2536,106,0.32075471698113206,-8.174741443120762,-16.770076841362492,-0.306480482116408,0.32442265611455273,cuda,11.373329542223242,5.0,19.373329542223242
N25.cash,H1,2026,1,2024-2025,452,54,0.4444444444444444,-6.113430940077941,-14.897791932830481,-0.1418639264020971,0.4257709179842449,cuda,14.378888894635708,4.0,21.378888894635708
N25.cash,M1,2026,1,2024-2025,28274,0,0.0,0.0,0.0,0.0,0.0,cuda,14.378888894635708,4.0,21.378888894635708
N25.cash,M15,2026,1,2024-2025,1880,13,0.5384615384615384,-0.3234323654004825,-1.6867818588558703,-0.026399754939678055,0.9576423055624939,cuda,14.378888894635708,4.0,21.378888894635708
N25.cash,M30,2026,1,2024-2025,914,40,0.45,-4.1296246742099365,-16.673759870602154,-0.08327381936893963,0.5746689706402479,cuda,14.378888894635708,4.0,21.378888894635708
N25.cash,M5,2026,1,2024-2025,5667,18,0.5,-3.672839941806881,-15.47171247974749,-0.04029685602327748,0.6102694507848192,cuda,14.378888894635708,4.0,21.378888894635708
NVDA,H1,2026,1,2024-2025,210,81,0.5061728395061729,0.9681669036858841,2.193731915456934,-0.2016174488260426,1.1437952744585076,cuda,5.568858940802714,5.0,13.568858940802713
NVDA,M1,2026,1,2024-2025,13059,92,0.34782608695652173,-8.916956826749912,-12.963064273603338,-0.22830487763041296,0.24192493178475302,cuda,5.568858940802714,5.0,13.568858940802713
NVDA,M15,2026,1,2024-2025,791,216,0.4861111111111111,-1.0538264253618934,-2.0700792191819195,-0.34095266721556217,0.8510820699674733,cuda,5.568858940802714,5.0,13.568858940802713
NVDA,M30,2026,1,2024-2025,391,107,0.6355140186915887,3.330788638008523,6.91598101959098,-0.15480738488879586,1.6314462063828632,cuda,5.568858940802714,5.0,13.568858940802713
NVDA,M5,2026,1,2024-2025,2468,285,0.4842105263157895,-2.058019497530073,-2.762586624945776,-0.3392131385858287,0.712755139463928,cuda,5.568858940802714,5.0,13.568858940802713
NZD_CHF,H1,2026,1,2024-2025,821,96,0.5208333333333334,-3.8586636103980365,-9.867714011778558,-0.06881159116301683,0.5839726667389208,cuda,2.559508574354254,3.0,8.559508574354254
NZD_CHF,M1,2026,1,2024-2025,50531,0,0.0,0.0,0.0,0.0,0.0,cuda,2.559508574354254,3.0,8.559508574354254
NZD_CHF,M15,2026,1,2024-2025,3321,23,0.6086956521739131,-1.1320004596467919,-1.5400636398553298,-0.007936072633348501,0.841346663702891,cuda,2.559508574354254,3.0,8.559508574354254
NZD_CHF,M30,2026,1,2024-2025,1673,26,0.46153846153846156,-4.630395561090493,-10.26572883438941,-0.01934741031539411,0.5208043897110736,cuda,2.559508574354254,3.0,8.559508574354254
NZD_CHF,M5,2026,1,2024-2025,9983,13,0.6153846153846154,0.7248856479280891,1.205649213566087,-0.008131315025460384,1.1110545529047748,cuda,2.559508574354254,3.0,8.559508574354254
NZD_CAD,H1,2026,1,2024-2025,834,56,0.5357142857142857,-3.344546771927698,-7.233186732659407,-0.023538077247827416,0.6231174027181023,cuda,1.7756627661272617,3.0,7.775662766127262
NZD_CAD,M1,2026,1,2024-2025,50609,0,0.0,0.0,0.0,0.0,0.0,cuda,1.7756627661272617,3.0,7.775662766127262
NZD_CAD,M15,2026,1,2024-2025,3328,26,0.5,-3.7257279844756725,-6.0340008067437,-0.012509132535774903,0.5678141463597693,cuda,1.7756627661272617,3.0,7.775662766127262
NZD_CAD,M30,2026,1,2024-2025,1677,41,0.3902439024390244,-5.770056661384466,-13.160557006242948,-0.026311849461307713,0.4490545442276862,cuda,1.7756627661272617,3.0,7.775662766127262
NZD_CAD,M5,2026,1,2024-2025,9996,27,0.4074074074074074,-6.998560825066015,-14.036216591998011,-0.01551934559865642,0.3641688584008322,cuda,1.7756627661272617,3.0,7.775662766127262
NZD_JPY,H1,2026,1,2024-2025,833,139,0.460431654676259,-4.593060677572204,-9.08964930905268,-0.12325243708979738,0.5218430244922134,cuda,1.5361657303366172,3.0,7.536165730336617
NZD_JPY,M1,2026,1,2024-2025,50356,4,0.5,-2.517507991729132,-17.660044277511705,-0.0010677336560432904,0.6876145183398309,cuda,1.5361657303366172,3.0,7.536165730336617
