symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
NERUSD,ok,crypto,crypto,H4,2.88,9.22,3.2,2.0,2.59,1.19,44,0.5,54.2,31.7,-4327.4,15901.84,15.9,-0.77,-0.27,0.87,0.4364,29.6,108,9.9,18,8.8438,3.1035,44.4,4.6,21.3,13.9,15.7,false,true,20,88
NZD_USD,ok,forex,forex,H4,2.4,7.53,3.1,1.31,3.68,0.68,21,0.5,4.9,1.4,-1026.85,3764.13,3.76,-0.25,-0.27,0.96,-0.0299,21.2,113,8.4,35,1.2041,0.3627,33.6,2.7,41.6,19.5,2.7,true,true,10,103
LNKUSD,ok,crypto,crypto,H4,1.23,8.27,6.7,1.54,3.65,0.85,17,0.5,24.5,2.0,-3232.62,9124.62,9.12,-0.66,-0.35,0.9,-0.3391,24.8,101,8.4,18,7.4615,2.9051,56.4,0.0,18.8,20.8,4.0,true,true,19,82
USD_CHF,ok,forex,forex,H4,2.23,6.98,3.1,1.14,2.13,1.92,35,0.5,4.3,0.8,-6347.96,18093.22,18.09,-0.41,-0.35,0.93,-0.028,27.6,301,7.1,35,0.6307,0.2788,48.5,3.0,22.3,20.9,5.3,false,true,25,276
XAG_EUR,ok,commodity,metals,H4,0.8,7.08,8.8,1.31,3.79,1.58,26,0.5,8.8,4.7,-10996.52,26613.27,26.61,-0.54,-0.41,0.92,-0.0503,13.8,376,4.7,35,3.7234,0.6559,56.1,3.2,30.1,8.0,2.7,false,true,27,349
EUR_USD,ok,forex,forex,H4,0.82,7.91,9.7,0.73,3.84,0.67,34,0.5,3.8,0.3,-12866.52,28077.22,28.08,-1.08,-0.46,0.85,-0.0217,27.3,282,7.3,35,0.6196,0.2625,45.7,1.4,25.9,18.8,8.2,false,true,21,261
AVAUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.5,32.6,10.1,-2168.27,4491.84,4.49,-0.96,-0.48,0.88,-0.4716,26.0,50,6.6,18,6.6277,2.966,70.0,4.0,4.0,6.0,16.0,true,true,7,43
BNBUSD,ok,crypto,crypto,H4,2.93,9.66,3.3,1.08,3.63,2.3,44,0.5,22.8,0.3,-8129.95,15109.78,15.11,-1.13,-0.54,0.81,-0.2161,22.0,118,9.8,18,5.6553,1.8754,48.3,5.9,28.8,10.2,6.8,false,true,25,93
BAC,ok,equity,us_equity,H4,1.44,7.68,5.3,0.43,1.85,1.8,36,0.5,24.4,19.0,-2480.03,4106.55,4.11,-1.54,-0.6,0.8,-0.1884,26.2,61,5.9,8,2.8011,1.2513,27.9,3.3,45.9,21.3,1.6,true,true,19,42
XAG_AUD,ok,commodity,metals,H4,0.91,6.56,7.2,0.45,3.26,1.63,32,0.5,8.4,4.2,-10645.05,17228.13,17.23,-1.23,-0.62,0.83,-0.1691,18.6,242,5.9,35,2.9427,0.88,41.7,0.0,39.7,16.9,1.7,false,true,17,225
